,MuonEnergy,RecoE
0,912.745,893.186
1,1034.430,1110.542
2,1073.540,1134.320
3,1021.050,1135.604
4,807.447,891.516
5,1012.260,1075.615
6,935.767,969.981
7,1131.580,1161.749
8,836.027,923.495
9,1174.040,1089.204
10,1026.050,1008.418
11,787.980,840.072
12,1264.060,1243.336
13,1011.950,1101.794
14,740.068,953.052
15,853.726,910.883
16,1126.060,1140.123
17,751.845,852.294
18,1309.130,1249.937
19,912.757,921.248
20,867.609,894.473
21,1030.070,1084.317
22,868.084,993.733
23,854.859,959.296
24,1059.920,1184.385
25,937.883,1014.690
26,873.879,909.149
27,845.692,902.114
28,1155.200,1021.326
29,1035.840,1102.758
30,979.022,1016.575
31,1166.200,1242.887
32,850.173,1127.789
33,923.946,1055.470
34,870.368,970.671
35,843.492,900.230
36,918.283,970.825
37,976.642,1000.265
38,1122.570,1215.691
39,1086.350,1151.063
40,1058.490,1158.308
41,900.716,985.659
42,848.069,851.410
43,1192.450,1251.515
44,1059.590,1182.009
45,803.549,801.388
46,1140.720,1119.268
47,834.876,895.274
48,1042.170,1001.207
49,1006.230,1053.234
50,1390.630,1265.111
51,696.664,819.416
52,1207.370,1113.086
